date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2020-03-16,CA,6.0,,1,,,,,0,,,7981.0,7065,,,,,,335,,42,0,,,,,,,,0,8316,7107,,,,,,0,8316,7107
2020-03-17,CA,11.0,,5,,,,,0,,,7981.0,0,,,,,,483,,148,0,,,,,,,,0,8464,148,,,,,,0,8464,148
2020-03-18,CA,13.0,,2,,,,,0,,,7981.0,0,,,,,,611,,128,0,,,,,,,,0,8592,128,,,,,,0,8592,128
2020-03-19,CA,18.0,,5,,,,,0,,,8787.0,806,,,,,,924,,313,0,,,,,,,,0,9711,1119,,,,,,0,9711,1119
2020-03-20,CA,20.0,,2,,,,,0,,,10424.0,1637,,,,,,1063,,139,0,,,,,,,,0,11487,1776,,,,,,0,11487,1776
2020-03-21,CA,24.0,,4,,,,,0,,,11249.0,825,,,,,,1279,,216,0,,,,,,,,0,12528,1041,,,,,,0,12528,1041
2020-03-22,CA,27.0,,3,,,,,0,,,11304.0,55,,,,,,1536,,257,0,,,,,,,,0,12840,312,,,,,,0,12840,312
2020-03-23,CA,27.0,,0,,,,,0,,,12567.0,1263,,,,,,1733,,197,0,,,,,,,,0,14300,1460,,,,,,0,14300,1460
2020-03-24,CA,40.0,,13,,,,,0,,,13452.0,885,,,,,,2102,,369,0,,,,,,,,0,15554,1254,,,,,,0,15554,1254
2020-03-25,CA,53.0,,13,,,,,0,,,15921.0,2469,,,,,,2355,,253,0,,,,,,,,0,18276,2722,,,,,,0,18276,2722
2020-03-26,CA,65.0,,12,,,,,0,,,17380.0,1459,,,,,,3006,,651,0,,,,,,,,0,20386,2110,,,,,,0,20386,2110
2020-03-27,CA,78.0,,13,,,,746.0,0,,200.0,17380.0,0,,,,,,3879,,873,0,,,,,,,,0,21259,873,,,,,,0,21259,873
2020-03-28,CA,101.0,,23,,,,1034.0,0,,410.0,20549.0,3169,,,,,,4643,,764,0,,,,,,,,0,25192,3933,,,,,,0,25192,3933
2020-03-29,CA,123.0,,22,,,,1034.0,0,,410.0,20549.0,0,,,,,,5708,,1065,0,,,,,,,,0,26257,1065,,,,,,0,26257,1065
2020-03-30,CA,133.0,,10,,,,1432.0,0,,597.0,20549.0,0,,,,,,6447,,739,0,,,,,,,,0,26996,739,,,,,,0,26996,739
2020-03-31,CA,153.0,,20,,,,1617.0,0,,657.0,21772.0,1223,,,,,,7482,,1035,0,,,,,,,,0,29254,2258,,,,,,0,29254,2258
2020-04-01,CA,171.0,,18,,,,1855.0,0,,774.0,21772.0,0,,,,,,8155,,673,0,,,,,,,,0,29927,673,,,,,,0,29927,673
2020-04-02,CA,203.0,,32,,,,1922.0,0,,816.0,23809.0,2037,,,,,,9191,,1036,0,,,,,,,,0,33000,3073,,,,,,0,33000,3073
2020-04-03,CA,237.0,,34,,,,2188.0,0,,901.0,24599.0,790,,,,,,10701,,1510,0,,,,,,,,0,35300,2300,,,,,,0,35300,2300
2020-04-04,CA,276.0,,39,,,,2300.0,0,,1008.0,101674.0,77075,,,,,,12026,,1325,0,,,,,,,,0,113700,78400,,,,,,0,113700,78400
2020-04-05,CA,319.0,,43,,,,2398.0,0,,1040.0,103095.0,1421,,,,,,13438,,1412,0,,,,,,,,0,116533,2833,,,,,,0,116533,2833
2020-04-06,CA,343.0,,24,,,,2509.0,0,,1085.0,103095.0,0,,,,,,14336,,898,0,,,,,,,,0,117431,898,,,,,,0,117431,898
2020-04-07,CA,374.0,,31,,,,2611.0,0,,1108.0,115364.0,12269,,,,,,15865,,1529,0,,,,,,,,0,131229,13798,,,,,,0,131229,13798
2020-04-08,CA,442.0,,68,,,,2714.0,0,,1154.0,127307.0,11943,,,,,,16957,,1092,0,,,,,,,,0,144264,13035,,,,,,0,144264,13035
2020-04-09,CA,492.0,,50,,,,2825.0,0,,1132.0,145191.0,17884,,,,,,18309,,1352,0,,,,,,,,0,163500,19236,,,,,,0,163500,19236
2020-04-10,CA,541.0,,49,,,,2897.0,0,,1145.0,145391.0,200,,,,,,19472,,1163,0,,,,,,,,0,164863,1363,,,,,,0,164863,1363
2020-04-11,CA,609.0,,68,,,,5236.0,0,,1591.0,152604.0,7213,,,,,,20615,,1143,0,,,,,,,,0,173219,8356,,,,,,0,173219,8356
2020-04-12,CA,651.0,,42,,,,5234.0,0,,1539.0,168534.0,15930,,,,,,21794,,1179,0,,,,,,,,0,190328,17109,,,,,,0,190328,17109
2020-04-13,CA,687.0,,36,,,,3015.0,0,,1178.0,168534.0,0,,,,,,22348,,554,0,,,,,,,,0,190882,554,,,,,,0,190882,554
2020-04-14,CA,758.0,,71,,,,5163.0,0,,1552.0,178870.0,10336,,,,,,23338,,990,0,,,,,,,,0,202208,11326,,,,,,0,202208,11326
2020-04-15,CA,821.0,,63,,,,5163.0,0,,1175.0,192062.0,13192,,,,,,24424,,1086,0,,,,,,,,0,216486,14278,,,,,,0,216486,14278
2020-04-16,CA,890.0,,69,,,,5031.0,0,,1568.0,220218.0,28156,,,,,,26182,,1758,0,,,,,,,,0,246400,29914,,,,,,0,246400,29914
2020-04-17,CA,985.0,,95,,,,4892.0,0,,1484.0,224086.0,3868,,,,,,27528,,1346,0,,,,,,,,0,251614,5214,,,,,,0,251614,5214
2020-04-18,CA,1072.0,,87,,,,4936.0,0,,1490.0,230703.0,6617,,,,,,28963,,1435,0,,,,,,,,0,259666,8052,,,,,,0,259666,8052
2020-04-19,CA,1166.0,,94,,,,4731.0,0,,1457.0,250567.0,19864,,,,,,30333,,1370,0,,,,,,,,0,280900,21234,,,,,,0,280900,21234
2020-04-20,CA,1208.0,,42,,,,4674.0,0,,1480.0,259522.0,8955,,,,,,30978,,645,0,,,,,,,,0,290500,9600,,,,,,0,290500,9600
2020-04-21,CA,1268.0,,60,,,,4886.0,0,,1502.0,266839.0,7317,,,,,,33261,,2283,0,,,,,,,,0,300100,9600,,,,,,0,300100,9600
2020-04-22,CA,1354.0,,86,,,,4984.0,0,,1551.0,,-266839,,,,,,35396,,2135,0,,,,,,,,0,465327,165227,,,,,,0,465327,165227
2020-04-23,CA,1469.0,,115,,,,4929.0,0,,1531.0,,0,,,,,,37369,,1973,0,,,,,,,,0,482097,16770,,,,,,0,482097,16770
2020-04-24,CA,1562.0,,93,,,,4880.0,0,,1521.0,,0,,,,,,39254,,1885,0,,,,,,,,0,494173,12076,,,,,,0,494173,12076
2020-04-25,CA,1651.0,,89,,,,4847.0,0,,1458.0,,0,,,,,,41137,,1883,0,,,,,,,,0,506035,11862,,,,,,0,506035,11862
2020-04-26,CA,1710.0,,59,,,,4928.0,0,,1473.0,,0,,,,,,42164,,1027,0,,,,,,,,0,526084,20049,,,,,,0,526084,20049
2020-04-27,CA,1755.0,,45,,,,4878.0,0,,1499.0,,0,,,,,,43464,,1300,0,,,,,,,,0,553409,27325,,,,,,0,553409,27325
2020-04-28,CA,1809.0,,54,,,,4983.0,0,,1485.0,,0,,,,,,45031,,1567,0,,,,,,,,0,577608,24199,,,,,,0,577608,24199
2020-04-29,CA,1887.0,,78,,,,5011.0,0,,1512.0,,0,,,,,,46500,46500.0,1469,0,,,,,,,,0,603139,25531,,,,,,0,603139,25531
2020-04-30,CA,1982.0,,95,,,,4981.0,0,,1473.0,,0,,,,,,48917,48917.0,2417,0,,,,,,,,0,625337,22198,,,,,,0,625337,22198
2020-05-01,CA,2073.0,,91,,,,4706.0,0,,1434.0,,0,,,,,,50442,50442.0,1525,0,,,,,,,,0,654985,29648,,,,,,0,654985,29648
2020-05-02,CA,2171.0,,98,,,,4722.0,0,,1433.0,,0,,,,,,52197,52197.0,1755,0,,,,,,,,0,685048,30063,,,,,,0,685048,30063
2020-05-03,CA,2215.0,,44,,,,4734.0,0,,1468.0,,0,,,,,,53616,53616.0,1419,0,,,,,,,,0,715751,30703,,,,,,0,715751,30703
2020-05-04,CA,2254.0,,39,,,,4616.0,0,,1464.0,,0,,,,,,54937,54937.0,1321,0,,,,,,,,0,747874,32123,,,,,,0,747874,32123
2020-05-05,CA,2317.0,,63,,,,4622.0,0,,1388.0,,0,,,,,,56212,56212.0,1275,0,,,,,,,,0,779902,32028,,,,,,0,779902,32028
2020-05-06,CA,2412.0,,95,,,,4681.0,0,,1415.0,,0,,,,,,58815,58815.0,2603,0,,,,,,,,0,809036,29134,,,,,,0,809036,29134
2020-05-07,CA,2504.0,,92,,,,4560.0,0,,1374.0,,0,,,,,,60614,60614.0,1799,0,,,,,,,,0,842874,33838,,,,,,0,842874,33838
2020-05-08,CA,2585.0,,81,,,,4514.0,0,,1342.0,,0,,,,,,62512,62512.0,1898,0,,,,,,,,0,875272,32398,,,,,,0,875272,32398
2020-05-09,CA,2678.0,,93,,,,4538.0,0,,1349.0,,0,,,,,,64561,64561.0,2049,0,,,,,,,,0,912570,37298,,,,,,0,912570,37298
2020-05-10,CA,2745.0,,67,,,,4555.0,0,,1328.0,,0,,,,,,66680,66680.0,2119,0,,,,,,,,0,955664,43094,,,,,,0,955664,43094
2020-05-11,CA,2770.0,,25,,,,4549.0,0,,1329.0,,0,,,,,,67939,67939.0,1259,0,,,,,,,,0,991897,36233,,,,,,0,991897,36233
2020-05-12,CA,2847.0,,77,,,,4544.0,0,,1349.0,,0,,,,,,69382,69382.0,1443,0,,,,,,,,0,1033370,41473,,,,,,0,1033370,41473
2020-05-13,CA,2934.0,,87,,,,4545.0,0,,1314.0,,0,,,,,,71141,71141.0,1759,0,,,,,,,,0,1065592,32222,,,,,,0,1065592,32222
2020-05-14,CA,3032.0,,98,,,,4655.0,0,,1324.0,,0,,,,,,73164,73164.0,2023,0,,,,,,,,0,1104651,39059,,,,,,0,1104651,39059
2020-05-15,CA,3108.0,,76,,,,4519.0,0,,1324.0,,0,,,,,,74936,74936.0,1772,0,,,,,,,,0,1133906,29255,,,,,,0,1133906,29255
2020-05-16,CA,3204.0,,96,,,,4424.0,0,,1313.0,,0,,,,,,76793,76793.0,1857,0,,,,,,,,0,1179126,45220,,,,,,0,1179126,45220
2020-05-17,CA,3261.0,,57,,,,4291.0,0,,1293.0,,0,,,,,,78839,78839.0,2046,0,,,,,,,,0,1235243,56117,,,,,,0,1235243,56117
2020-05-18,CA,3302.0,,41,,,,4391.0,0,,1325.0,,0,,,,,,80430,80430.0,1591,0,,,,,,,,0,1292672,57429,,,,,,0,1292672,57429
2020-05-19,CA,3334.0,,32,,,,4363.0,0,,1307.0,,0,,,,,,81795,81795.0,1365,0,,,,,,,,0,1339316,46644,,,,,,0,1339316,46644
2020-05-20,CA,3436.0,,102,,,,4681.0,0,,1345.0,,0,,,,,,84057,84057.0,2262,0,,,,,,,,0,1380120,40804,,,,,,0,1380120,40804
2020-05-21,CA,3542.0,,106,,,,4735.0,0,,1310.0,,0,,,,,,86197,86197.0,2140,0,,,,,,,,0,1421127,41007,,,,,,0,1421127,41007
2020-05-22,CA,3630.0,,88,,,,4762.0,0,,1317.0,,0,,,,,,88444,88444.0,2247,0,,,,,,,,0,1466773,45646,,,,,,0,1466773,45646
2020-05-23,CA,3708.0,,78,,,,4342.0,0,,1312.0,,0,,,,,,90631,90631.0,2187,0,,,,,,,,0,1515306,48533,,,,,,0,1515306,48533
2020-05-24,CA,3774.0,,66,,,,4300.0,0,,1315.0,,0,,,,,,92710,92710.0,2079,0,,,,,,,,0,1582745,67439,,,,,,0,1582745,67439
2020-05-25,CA,3795.0,,21,,,,4306.0,0,,1301.0,,0,,,,,,94558,94558.0,1848,0,,,,,,,,0,1644102,61357,,,,,,0,1644102,61357
2020-05-26,CA,3814.0,,19,,,,4404.0,0,,1392.0,,0,,,,,,96733,96733.0,2175,0,,,,,,,,0,1696396,52294,,,,,,0,1696396,52294
2020-05-27,CA,3884.0,,70,,,,4544.0,0,,1407.0,,0,,,,,,98980,98980.0,2247,0,,,,,,,,0,1736894,40498,,,,,,0,1736894,40498
2020-05-28,CA,3973.0,,89,,,,4529.0,0,,1325.0,,0,,,,,,101697,101697.0,2717,0,,,,,,,,0,1790559,53665,,,,,,0,1790559,53665
2020-05-29,CA,4068.0,,95,,,,4414.0,0,,1328.0,,0,,,,,,103886,103886.0,2189,0,,,,,,,,0,1835478,44919,,,,,,0,1835478,44919
2020-05-30,CA,4156.0,,88,,,,4215.0,0,,1273.0,,0,,,,,,106878,106878.0,2992,0,,,,,,,,0,1888595,53117,,,,,,0,1888595,53117
2020-05-31,CA,4213.0,,57,,,,4331.0,0,,1324.0,,0,,,,,,110583,110583.0,3705,0,,,,,,,,0,1944848,56253,,,,,,0,1944848,56253
2020-06-01,CA,4251.0,,38,,,,4258.0,0,,1273.0,,0,,,,,,113006,113006.0,2423,0,,,,,,,,0,2012583,67735,,,,,,0,2012583,67735
2020-06-02,CA,4286.0,,35,,,,4393.0,0,,1286.0,,0,,,,,,115310,115310.0,2304,0,,,,,,,,0,2071591,59008,,,,,,0,2071591,59008
2020-06-03,CA,4361.0,,75,,,,4458.0,0,,1313.0,,0,,,,,,117687,117687.0,2377,0,,,,,,,,0,2131294,59703,,,,,,0,2131294,59703
2020-06-04,CA,4422.0,,61,,,,4455.0,0,,1279.0,,0,,,,,,119807,119807.0,2120,0,,,,,,,,0,2182671,51377,,,,,,0,2182671,51377
2020-06-05,CA,4485.0,,63,,,,4625.0,0,,1333.0,,0,,,,,,122901,122901.0,3094,0,,,,,,,,0,2238463,55792,,,,,,0,2238463,55792
2020-06-06,CA,4559.0,,74,,,,4526.0,0,,1315.0,,0,,,,,,126016,126016.0,3115,0,,,,,,,,0,2308300,69837,,,,,,0,2308300,69837
2020-06-07,CA,4626.0,,67,,,,4525.0,0,,1288.0,,0,,,,,,128812,128812.0,2796,0,,,,,,,,0,2362218,53918,,,,,,0,2362218,53918
2020-06-08,CA,4653.0,,27,,,,4506.0,0,,1301.0,,0,,,,,,131319,131319.0,2507,0,,,,,,,,0,2431190,68972,,,,,,0,2431190,68972
2020-06-09,CA,4697.0,,44,,,,4583.0,0,,1345.0,,0,,,,,,133489,133489.0,2170,0,,,,,,,,0,2486245,55055,,,,,,0,2486245,55055
2020-06-10,CA,4776.0,,79,,,,4719.0,0,,1326.0,,0,,,,,,136191,136191.0,2702,0,,,,,,,,0,2540798,54553,,,,,,0,2540798,54553
2020-06-11,CA,4881.0,,105,,,,4534.0,0,,1325.0,,0,,,,,,139281,139281.0,3090,0,,,,,,,,0,2597647,56849,,,,,,0,2597647,56849
2020-06-12,CA,4943.0,,62,,,,4480.0,0,,1310.0,,0,,,,,,141983,141983.0,2702,0,,,,,,,,0,2662258,64611,,,,,,0,2662258,64611
2020-06-13,CA,4989.0,,46,,,,4411.0,0,,1313.0,,0,,,,,,145643,145643.0,3660,0,,,,,,,,0,2724393,62135,,,,,,0,2724393,62135
2020-06-14,CA,5063.0,,74,,,,4247.0,0,,1280.0,,0,,,,,,148855,148855.0,3212,0,,,,,,,,0,2801996,77603,,,,,,0,2801996,77603
2020-06-15,CA,5089.0,,26,,,,4323.0,0,,1270.0,,0,,,,,,151452,151452.0,2597,0,,,,,,,,0,2868182,66186,,,,,,0,2868182,66186
2020-06-16,CA,5121.0,,32,,,,4462.0,0,,1272.0,,0,,,,,,153560,153560.0,2108,0,,,,,,,,0,2937755,69573,,,,,,0,2937755,69573
2020-06-17,CA,5208.0,,87,,,,4522.0,0,,1318.0,,0,,,,,,157015,157015.0,3455,0,,,,,,,,0,2997988,60233,,,,,,0,2997988,60233
2020-06-18,CA,5290.0,,82,,,,4584.0,0,,1298.0,,0,,,,,,161099,161099.0,4084,0,,,,,,,,0,3074530,76542,,,,,,0,3074530,76542
2020-06-19,CA,5360.0,,70,,,,4587.0,0,,1329.0,,0,,,,,,165416,165416.0,4317,0,,,,,,,,0,3155702,81172,,,,,,0,3155702,81172
2020-06-20,CA,5424.0,,64,,,,4582.0,0,,1332.0,,0,,,,,,169309,169309.0,3893,0,,,,,,,,0,3234412,78710,,,,,,0,3234412,78710
2020-06-21,CA,5495.0,,71,,,,4679.0,0,,1366.0,,0,,,,,,173824,173824.0,4515,0,,,,,,,,0,3319256,84844,,,,,,0,3319256,84844
2020-06-22,CA,5515.0,,20,,,,4804.0,0,,1412.0,,0,,,,,,178054,178054.0,4230,0,,,,,,,,0,3411686,92430,,,,,,0,3411686,92430
2020-06-23,CA,5580.0,,65,,,,5065.0,0,,1421.0,,0,,,,,,183073,183073.0,5019,0,,,,,,,,0,3496929,85243,,,,,,0,3496929,85243
2020-06-24,CA,5632.0,,52,,,,5399.0,0,,1487.0,,0,,,,,,190222,190222.0,7149,0,,,,,,,,0,3592899,95970,,,,,,0,3592899,95970
2020-06-25,CA,5733.0,,101,,,,5522.0,0,,1523.0,,0,,,,,,195571,195571.0,5349,0,,,,,,,,0,3694345,101446,,,,,,0,3694345,101446
2020-06-26,CA,5812.0,,79,,,,5639.0,0,,1570.0,,0,,,,,,200461,200461.0,4890,0,,,,,,,,0,3771314,76969,,,,,,0,3771314,76969
2020-06-27,CA,5872.0,,60,,,,5790.0,0,,1562.0,,0,,,,,,206433,206433.0,5972,0,,,,,,,,0,3862310,90996,,,,,,0,3862310,90996
2020-06-28,CA,5905.0,,33,,,,5956.0,0,,1602.0,,0,,,,,,211243,211243.0,4810,0,,,,,,,,0,3955952,93642,,,,,,0,3955952,93642
2020-06-29,CA,5936.0,,31,,,,6179.0,0,,1686.0,,0,,,,,,219252,219252.0,8009,0,,,,,,,,0,4061692,105740,,,,,,0,4061692,105740
2020-06-30,CA,5980.0,,44,,,,6466.0,0,,1751.0,,0,,,,,,228732,228732.0,9480,0,,,,,,,,0,4167139,105447,,,,,,0,4167139,105447
2020-07-01,CA,6090.0,,110,,,,6612.0,0,,1859.0,,0,,,,,,236139,236139.0,7407,0,,,,,,,,0,4254176,87037,,,,,,0,4254176,87037
2020-07-02,CA,6163.0,,73,,,,6812.0,0,,1934.0,,0,,,,,,242547,242547.0,6408,0,,,,,,,,0,4338718,84542,,,,,,0,4338718,84542
2020-07-03,CA,6263.0,,100,,,,7024.0,0,,1871.0,,0,,,,,,248235,248235.0,5688,0,,,,,,,,0,4448176,109458,,,,,,0,4448176,109458
2020-07-04,CA,6313.0,,50,,,,7092.0,0,,1888.0,,0,,,,,,257388,257388.0,9153,0,,,,,,,,0,4553031,104855,,,,,,0,4553031,104855
2020-07-05,CA,6331.0,,18,,,,7149.0,0,,1907.0,,0,,,,,,265985,265985.0,8597,0,,,,,,,,0,4680138,127107,,,,,,0,4680138,127107
2020-07-06,CA,6337.0,,6,,,,7278.0,0,,1937.0,,0,,,,,,271684,271684.0,5699,0,,,,,,,,0,4793353,113215,,,,,,0,4793353,113215
2020-07-07,CA,6448.0,,111,,,,7499.0,0,,1984.0,,0,,,,,,277774,277774.0,6090,0,,,,,,,,0,4896370,103017,,,,,,0,4896370,103017
2020-07-08,CA,6562.0,,114,,,,7705.0,0,,1976.0,,0,,,,,,289468,289468.0,11694,0,,,,,,,,0,4996175,99805,,,,,,0,4996175,99805
2020-07-09,CA,6711.0,,149,,,,7821.0,0,,1957.0,,0,,,,,,296499,296499.0,7031,0,,,,,,,,0,5078434,82259,,,,,,0,5078434,82259
2020-07-10,CA,6851.0,,140,,,,7896.0,0,,2005.0,,0,,,,,,304297,304297.0,7798,0,,,,,,,,0,5175737,97303,,,,,,0,5175737,97303
2020-07-11,CA,6945.0,,94,,,,7904.0,0,,2021.0,,0,,,,,,312344,312344.0,8047,0,,,,,,,,0,5275695,99958,,,,,,0,5275695,99958
2020-07-12,CA,7017.0,,72,,,,7854.0,0,,2020.0,,0,,,,,,320804,320804.0,8460,0,,,,,,,,0,5406599,130904,,,,,,0,5406599,130904
2020-07-13,CA,7040.0,,23,,,,7895.0,0,,2021.0,,0,,,,,,329162,329162.0,8358,0,,,,,,,,0,5544365,137766,,,,,,0,5544365,137766
2020-07-14,CA,7087.0,,47,,,,8145.0,0,,2083.0,,0,,,,,,336508,336508.0,7346,0,,,,,,,,0,5674955,130590,,,,,,0,5674955,130590
2020-07-15,CA,7227.0,,140,,,,8353.0,0,,2110.0,,0,,,,,,347634,347634.0,11126,0,,,,,,,,0,5793276,118321,,,,,,0,5793276,118321
2020-07-16,CA,7345.0,,118,,,,8363.0,0,,2120.0,,0,,,,,,356178,356178.0,8544,0,,,,,,,,0,5915508,122232,,,,,,0,5915508,122232
2020-07-17,CA,7475.0,,130,,,,8450.0,0,,2153.0,,0,,,,,,366164,366164.0,9986,0,,,,,,,,0,6044099,128591,,,,,,0,6044099,128591
2020-07-18,CA,7595.0,,120,,,,8502.0,0,,2125.0,,0,,,,,,375363,375363.0,9199,0,,,,,,,,0,6167218,123119,,,,,,0,6167218,123119
2020-07-19,CA,7685.0,,90,,,,8398.0,0,,2107.0,,0,,,,,,384692,384692.0,9329,0,,,,,,,,0,6286852,119634,,,,,,0,6286852,119634
2020-07-20,CA,7694.0,,9,,,,8419.0,0,,2157.0,,0,,,,,,391538,391538.0,6846,0,,,,,,,,0,6414321,127469,,,,,,0,6414321,127469
2020-07-21,CA,7755.0,,61,,,,8681.0,0,,2226.0,,0,,,,,,400769,400769.0,9231,0,,,,,,,,0,6536932,122611,,,,,,0,6536932,122611
2020-07-22,CA,7870.0,,115,,,,8820.0,0,,2284.0,,0,,,,,,413576,413576.0,12807,0,,,,,,,,0,6664419,127487,,,,,,0,6664419,127487
2020-07-23,CA,8027.0,,157,,,,8820.0,0,,2284.0,,0,,,,,,425616,425616.0,12040,0,,,,,,,,0,6778304,113885,,,,,,0,6778304,113885
2020-07-24,CA,8186.0,,159,,,,8820.0,0,,2284.0,,0,,,,,,435334,435334.0,9718,0,,,,,,,,0,6915876,137572,,,,,,0,6915876,137572
2020-07-25,CA,8337.0,,151,,,,8820.0,0,,2284.0,,0,,,,,,445400,445400.0,10066,0,,,,,,,,0,7047355,131479,,,,,,0,7047355,131479
2020-07-26,CA,8416.0,,79,,,,8820.0,0,,2284.0,,0,,,,,,453659,453659.0,8259,0,,,,,,,,0,7168139,120784,,,,,,0,7168139,120784
2020-07-27,CA,8445.0,,29,,,,8820.0,0,,2284.0,,0,,,,,,460550,460550.0,6891,0,,,,,,,,0,7296578,128439,,,,,,0,7296578,128439
2020-07-28,CA,8518.0,,73,,,,8317.0,0,,2198.0,,0,,,,,,466550,466550.0,6000,0,,,,,,,,0,7417866,121288,,,,,,0,7417866,121288
2020-07-29,CA,8715.0,,197,,,,8439.0,0,,2209.0,,0,,,,,,475305,475305.0,8755,0,,,,,,,,0,7517466,99600,,,,,,0,7517466,99600
2020-07-30,CA,8909.0,,194,,,,8198.0,0,,2220.0,,0,,,,,,485502,485502.0,10197,0,,,,,,,,0,7633840,116374,,,,,,0,7633840,116374
2020-07-31,CA,9005.0,,96,,,,7999.0,0,,2163.0,,0,,,,,,493588,493588.0,8086,0,,,,,,,,0,7811041,177201,,,,,,0,7811041,177201
2020-08-01,CA,9224.0,,219,,,,7754.0,0,,2120.0,,0,,,,,,500130,500130.0,6542,0,,,,,,,,0,7886587,75546,,,,,,0,7886587,75546
2020-08-02,CA,9356.0,,132,,,,7761.0,0,,2119.0,,0,,,,,,509162,509162.0,9032,0,,,,,,,,0,8035975,149388,,,,,,0,8035975,149388
2020-08-03,CA,9388.0,,32,,,,7629.0,0,,2069.0,,0,,,,,,514901,514901.0,5739,0,,,,,,,,0,8184696,148721,,,,,,0,8184696,148721
2020-08-04,CA,9501.0,,113,,,,7630.0,0,,2082.0,,0,,,,,,519427,519427.0,4526,0,,,,,,,,0,8305713,121017,,,,,,0,8305713,121017
2020-08-05,CA,9703.0,,202,,,,7552.0,0,,2005.0,,0,,,,,,524722,524722.0,5295,0,,,,,,,,0,8409400,103687,,,,,,0,8409400,103687
2020-08-06,CA,9869.0,,166,,,,7485.0,0,,2026.0,,0,,,,,,529980,529980.0,5258,0,,,,,,,,0,8500463,91063,,,,,,0,8500463,91063
2020-08-07,CA,10011.0,,142,,,,7277.0,0,,1978.0,,0,,,,,,538416,538416.0,8436,0,,,,,,,,0,8596882,96419,,,,,,0,8596882,96419
2020-08-08,CA,10189.0,,178,,,,6956.0,0,,2038.0,,0,,,,,,545787,545787.0,7371,0,,,,,,,,0,8707527,110645,,,,,,0,8707527,110645
2020-08-09,CA,10293.0,,104,,,,6849.0,0,,1891.0,,0,,,,,,554160,554160.0,8373,0,,,,,,,,0,8826119,118592,,,,,,0,8826119,118592
2020-08-10,CA,10359.0,,66,,,,6770.0,0,,1879.0,,0,,,,,,561911,561911.0,7751,0,,,,,,,,0,8998353,172234,,,,,,0,8998353,172234
2020-08-11,CA,10468.0,,109,,,,6759.0,0,,1885.0,,0,,,,,,574411,574411.0,12500,0,,,,,,,,0,9186279,187926,,,,,,0,9186279,187926
